Gr_Liv_Area,First_Flr_SF,Second_Flr_SF,Total_Bsmt_SF,Low_Qual_Fin_SF,Wood_Deck_SF,Open_Porch_SF,Bsmt_Unf_SF,Mas_Vnr_Area,Garage_Cars,Garage_Area,Year_Built,TotRms_AbvGrd,Full_Bath,Overall_Qual,Kitchen_Qual,Fireplaces,Fireplace_Qu,Exter_Qual,Lot_Frontage,Lot_Area,Longitude,Latitude,Misc_Val,Year_Sold,Sale_Price
896,896,0,882,0,140,0,270,0,1,730,1961,5,1,Average,Typical,0,No_Fireplace,Typical,80,11622,-93.619756,42.053014,0,2010,105000
1329,1329,0,1329,0,393,36,406,108,1,312,1958,6,1,Above_Average,Good,0,No_Fireplace,Typical,81,14267,-93.6193873,42.052659,12500,2010,172000
1338,1338,0,1338,0,0,0,722,0,2,582,2001,6,2,Very_Good,Good,0,No_Fireplace,Good,41,4920,-93.633792,42.062978,0,2010,213500
1280,1280,0,1280,0,0,82,1017,0,2,506,1992,5,2,Very_Good,Good,0,No_Fireplace,Good,43,5005,-93.633826,42.060728,0,2010,191500
1616,1616,0,1595,0,237,152,415,0,2,608,1995,5,2,Very_Good,Good,1,Typical,Good,39,5389,-93.632852,42.06112,0,2010,236500
1187,1187,0,1168,0,483,21,233,0,2,420,1992,6,2,Above_Average,Typical,0,No_Fireplace,Typical,0,7980,-93.635951,42.057419,500,2010,185000
1465,789,676,789,0,0,75,789,0,2,393,1998,7,2,Above_Average,Typical,1,Good,Typical,63,8402,-93.638647,42.058151,0,2010,180400
1341,1341,0,1300,0,192,0,663,0,2,506,1990,5,1,Good,Good,1,Poor,Typical,85,10176,-93.634626,42.057268,0,2010,171500
3279,1690,1589,1650,0,503,36,234,603,3,841,2003,12,3,Very_Good,Excellent,1,Good,Excellent,47,53504,-93.62655,42.061239,0,2010,538000
1752,1080,672,559,0,325,12,132,0,2,492,1988,8,2,Very_Good,Typical,0,No_Fireplace,Good,152,12134,-93.6235954,42.0603514,0,2010,164000
1844,1844,0,1844,0,0,122,1139,480,2,546,1977,7,2,Above_Average,Typical,1,Typical,Typical,105,11751,-93.633962,42.050346,0,2010,190000
1674,814,860,814,0,0,96,281,0,2,663,2000,7,2,Good,Good,0,No_Fireplace,Good,0,7500,-93.639366,42.049297,0,2010,216000
1004,1004,0,1004,0,0,0,426,180,2,480,1970,5,1,Above_Average,Typical,1,Typical,Typical,0,11241,-93.626231,42.055147,700,2010,149000
1078,1078,0,1078,0,0,0,344,0,2,500,1971,6,1,Average,Typical,1,Fair,Typical,0,12537,-93.626537,42.054592,0,2010,149900
987,483,504,483,0,275,0,327,504,1,264,1971,5,1,Above_Average,Typical,0,No_Fireplace,Typical,21,1680,-93.627271,42.051835,0,2010,96000
1069,1069,0,1069,0,0,55,709,0,2,440,1977,4,2,Above_Average,Typical,1,Fair,Typical,53,4043,-93.627232,42.049672,0,2010,127500
1456,855,601,855,0,173,0,341,0,2,440,1975,6,2,Above_Average,Good,1,Typical,Typical,24,2280,-93.625924,42.050683,0,2010,149900
836,836,0,836,0,0,30,836,0,1,308,1975,4,1,Good,Typical,0,No_Fireplace,Typical,24,2280,-93.625966,42.050681,0,2010,120000
1704,1704,0,1704,0,0,50,486,200,3,772,2007,7,2,Very_Good,Good,1,Good,Good,98,11478,-93.654645,42.062109,0,2010,306000
1698,1698,0,1698,0,192,74,1588,615,3,730,2005,7,2,Excellent,Excellent,1,Good,Good,90,11520,-93.65332,42.0608079,0,2010,275000
1535,1535,0,1517,0,0,0,1515,168,2,532,2004,7,2,Good,Good,0,No_Fireplace,Good,70,10171,-93.652307,42.060298,0,2010,214000
2696,2696,0,2846,0,220,150,1473,1095,3,958,2003,10,2,Excellent,Excellent,2,Good,Excellent,110,14300,-93.656067,42.058599,0,2010,500000
2250,1687,563,1671,0,238,130,1093,232,3,756,2002,7,2,Very_Good,Good,1,Excellent,Good,105,13650,-93.654853,42.057102,0,2010,320000
1370,1370,0,1370,0,120,49,1346,178,2,484,2006,6,2,Very_Good,Good,1,Good,Good,41,7132,-93.649447,42.058252,0,2010,205000
1626,764,862,764,0,0,27,764,106,2,474,2003,6,2,Good,Good,0,No_Fireplace,Good,36,2628,-93.651013,42.057181,0,2010,175500
1324,1324,0,1324,0,36,23,1324,0,2,430,2005,6,2,Above_Average,Good,0,No_Fireplace,Good,100,18494,-93.644356,42.061928,0,2010,199500
1733,847,886,847,0,144,48,847,0,2,433,2004,7,2,Good,Good,1,Good,Good,63,8577,-93.642447,42.061193,0,2010,185088
2035,884,1151,884,0,144,48,884,180,2,434,2001,8,2,Good,Good,1,Good,Good,0,9505,-93.641337,42.057103,0,2010,222500
2599,1422,1177,1393,0,668,30,1393,165,3,779,1999,10,2,Excellent,Good,1,Typical,Good,108,14774,-93.651381,42.054386,0,2010,333168
2475,1645,830,1629,0,23,172,1629,114,3,962,1998,7,2,Very_Good,Good,1,Typical,Good,60,17433,-93.652334,42.053243,0,2010,355000
2270,1164,1106,1152,0,132,57,628,348,3,671,1999,9,2,Very_Good,Good,1,Good,Good,92,11764,-93.650356,42.052457,0,2010,290000
3238,2053,1185,2033,0,283,86,1217,579,3,666,1995,9,2,Very_Good,Good,1,Excellent,Good,56,14720,-93.652972,42.050909,0,2010,410000
1595,1595,0,1595,0,144,0,1595,226,3,880,2005,6,2,Very_Good,Good,1,Good,Good,73,8987,-93.642368,42.05306,0,2010,221500
1547,764,783,756,0,169,45,732,0,2,614,2009,7,2,Good,Good,0,No_Fireplace,Typical,72,8640,-93.650318,42.051653,0,2010,215200
1947,991,956,991,0,0,136,769,0,2,678,2004,8,2,Good,Good,1,Good,Good,100,12552,-93.642773,42.052347,0,2010,254900
1468,1468,0,1468,0,0,102,54,0,2,528,2005,6,2,Above_Average,Good,1,Good,Good,84,10440,-93.642224,42.051429,0,2010,271500
1659,831,828,831,0,144,68,831,122,2,484,2004,8,2,Good,Good,0,No_Fireplace,Good,70,11920,-93.692412,42.036113,0,2010,181000
2110,1222,888,948,0,0,130,253,0,2,463,1994,8,2,Good,Good,2,Fair,Good,0,8880,-93.68981,42.036026,0,2010,205000
1845,1055,790,1055,0,635,104,1055,0,2,462,1992,8,2,Above_Average,Good,1,Typical,Good,70,11218,-93.687694,42.036659,400,2010,189000
918,918,0,918,0,28,0,918,0,1,264,1979,5,2,Above_Average,Typical,1,Typical,Typical,55,7892,-93.686263,42.034589,0,2010,99500
752,752,0,744,0,353,0,0,0,1,264,1984,4,1,Above_Average,Typical,0,No_Fireplace,Typical,50,7175,-93.686264,42.0347,0,2010,125000
1744,1014,730,996,0,370,70,594,0,2,457,1993,7,2,Good,Good,0,No_Fireplace,Good,0,9453,-93.68628,42.036633,0,2010,194500
1097,1097,0,1040,0,0,0,702,0,2,480,1984,6,2,Above_Average,Typical,0,No_Fireplace,Typical,81,9672,-93.685028,42.034555,0,2010,152000
1564,888,676,650,0,0,50,650,130,2,476,1980,7,2,Above_Average,Typical,1,Typical,Typical,70,8400,-93.685029,42.034678,0,2010,171000
894,894,0,894,0,416,144,224,0,1,336,1965,5,1,Average,Typical,1,Good,Typical,65,8450,-93.670956,42.035685,0,2010,138500
900,900,0,882,0,0,0,432,31,1,280,1967,5,1,Average,Typical,0,No_Fireplace,Typical,0,9819,-93.672096,42.034856,0,2010,122000
1040,1040,0,1040,0,0,0,216,0,1,308,1963,5,1,Average,Typical,0,No_Fireplace,Typical,75,7500,-93.672067,42.03457,0,2010,133000
1923,1061,862,750,0,240,39,76,0,2,564,1992,8,2,Good,Good,1,Typical,Good,107,10186,-93.646749,42.048253,0,2010,190000
1488,1488,0,1488,0,168,50,190,0,2,506,2004,6,2,Good,Good,1,Good,Good,25,4835,-93.647988,42.047452,0,2010,260000
1680,840,840,840,0,0,111,840,0,2,588,2004,3,2,Good,Good,0,No_Fireplace,Good,39,3515,-93.64614,42.048086,0,2010,190000
1200,600,600,600,0,0,172,320,120,2,480,2004,4,2,Good,Good,0,No_Fireplace,Good,30,3215,-93.645599,42.048566,0,2010,155000
1200,600,600,600,0,0,172,600,0,2,480,2004,4,2,Good,Good,0,No_Fireplace,Good,30,3182,-93.644889,42.047899,0,2010,151000
1200,600,600,600,0,0,172,190,0,2,480,2004,4,2,Good,Good,0,No_Fireplace,Good,24,2544,-93.644889,42.047876,0,2010,149500
1573,769,804,756,0,0,32,378,216,2,440,2000,5,2,Above_Average,Good,0,No_Fireplace,Good,0,2117,-93.645606,42.046145,0,2010,177500
1512,756,756,756,0,0,32,290,1159,2,440,2000,5,2,Above_Average,Good,0,No_Fireplace,Good,0,2980,-93.645585,42.046145,0,2010,177000
1416,696,720,696,0,0,44,92,0,2,484,1999,6,2,Good,Good,0,No_Fireplace,Good,24,2572,-93.645482,42.046424,0,2010,155000
2495,1280,1215,1280,0,224,32,143,0,2,660,1993,9,2,Above_Average,Good,1,Typical,Typical,80,10791,-93.636879,42.043038,0,2010,243500
1610,1610,0,1610,0,168,68,410,28,2,480,1977,6,2,Above_Average,Good,2,Typical,Typical,0,10603,-93.637463,42.043306,0,2010,205000
1891,1287,604,1224,0,0,69,491,0,2,678,1978,7,3,Above_Average,Typical,1,Typical,Typical,0,18837,-93.637531,42.043306,0,2010,212500
1714,980,734,980,0,228,66,586,42,2,496,1988,7,2,Good,Typical,1,Typical,Typical,80,10421,-93.637788,42.043329,500,2010,196500
1232,1232,0,1232,0,0,224,534,172,2,490,1966,6,1,Average,Typical,0,No_Fireplace,Typical,80,9600,-93.626137,42.046574,0,2010,142250
1328,1328,0,1328,0,0,26,678,451,2,528,1963,6,1,Above_Average,Typical,2,Good,Typical,0,9790,-93.625926,42.042205,0,2010,143000
1225,1225,0,950,0,352,0,381,0,0,0,1959,6,1,Below_Average,Typical,0,No_Fireplace,Typical,77,9320,-93.623383,42.043363,400,2010,128950
1209,1209,0,1209,0,0,0,150,0,2,504,1966,6,1,Average,Typical,0,No_Fireplace,Typical,90,9900,-93.626939,42.039085,0,2010,159000
1510,1510,0,1510,0,0,40,500,268,2,517,1967,6,2,Average,Good,0,No_Fireplace,Typical,88,9680,-93.627536,42.038971,0,2010,178900
1152,1152,0,1152,0,227,0,138,86,2,484,1964,6,1,Average,Typical,1,Good,Typical,0,14112,-93.627809,42.041146,0,2010,180500
1078,1078,0,1078,0,366,0,0,0,1,240,1950,5,1,Average,Good,0,No_Fireplace,Typical,68,9717,-93.622864,42.039211,0,2010,142125
2461,1929,532,1140,0,0,0,470,265,2,400,1952,7,2,Average,Typical,2,Good,Good,68,9724,-93.620651,42.039211,0,2010,197600
1063,1063,0,1056,0,0,0,412,110,1,280,1954,6,1,Average,Typical,0,No_Fireplace,Typical,80,9920,-93.62475,42.035943,0,2010,128000
2274,1105,1169,1105,0,0,0,662,361,2,480,1960,12,2,Average,Typical,0,No_Fireplace,Typical,80,11600,-93.6184183,42.0459375,0,2010,154300
2207,2207,0,1947,0,301,0,1035,287,2,576,1970,7,2,Good,Typical,1,Good,Typical,0,19900,-93.614307,42.049514,0,2010,180000
1143,1143,0,1143,0,0,0,125,150,1,308,1959,6,1,Average,Typical,0,No_Fireplace,Typical,0,8050,-93.617117,42.042908,0,2010,136000
1314,1314,0,1314,0,250,0,392,0,1,294,1957,5,1,Average,Typical,0,No_Fireplace,Typical,70,8400,-93.618626,42.044847,0,2010,145000
1264,1264,0,1268,0,0,0,571,324,2,461,1960,6,1,Average,Typical,2,Good,Typical,73,9300,-93.613301,42.044176,0,2010,167500
972,972,0,972,0,0,0,324,0,1,305,1955,5,1,Average,Typical,0,No_Fireplace,Typical,119,10895,-93.617092,42.04137,0,2010,122500
1086,1086,0,1086,0,0,0,404,104,2,490,1954,6,1,Average,Typical,0,No_Fireplace,Typical,85,10200,-93.618788,42.038249,0,2010,144900
